V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,survey_code,experiment,Q17,Q23,Q58,Q32_1,Q32_2,Q32_3,Q32_4,Q14(1),Q14(2),Q14(3),Q14(4),Q14(5),Q14(6),Q14(7),Q14(8),Q14(9),Q25_1(1),Q25_1(2),Q25_1(3),Q25_1(4),Q25_1(5),Q25_1(6),Q25_1(7),Q25_1(8),Q25_1(9),Q20(1),Q20(2),Q20(3),Q20(4),Q20(5),Q20(6),Q20(7),Q20(8),Q20(9),Q4_1(1),Q4_2(1),Q4_3(1),Q4_4(1),Q4_1(2),Q4_2(2),Q4_3(2),Q4_4(2),Q4_1(3),Q4_2(3),Q4_3(3),Q4_4(3),Q4_1(4),Q4_2(4),Q4_3(4),Q4_4(4),Q4_1(5),Q4_2(5),Q4_3(5),Q4_4(5),Q4_1(6),Q4_2(6),Q4_3(6),Q4_4(6),Q4_1(7),Q4_2(7),Q4_3(7),Q4_4(7),Q4_1(8),Q4_2(8),Q4_3(8),Q4_4(8),Q4_1(9),Q4_2(9),Q4_3(9),Q4_4(9),Q52,Q33_1,Q33_2,Q33_3,Q33_4,Q46(1),Q46(2),Q46(3),Q46(4),Q46(5),Q46(6),Q46(7),Q46(8),Q46(9),Q47_1(1),Q47_1(2),Q47_1(3),Q47_1(4),Q47_1(5),Q47_1(6),Q47_1(7),Q47_1(8),Q47_1(9),Q49(1),Q49(2),Q49(3),Q49(4),Q49(5),Q49(6),Q49(7),Q49(8),Q49(9),Q50_1(1),Q50_2(1),Q50_3(1),Q50_4(1),Q50_1(2),Q50_2(2),Q50_3(2),Q50_4(2),Q50_1(3),Q50_2(3),Q50_3(3),Q50_4(3),Q50_1(4),Q50_2(4),Q50_3(4),Q50_4(4),Q50_1(5),Q50_2(5),Q50_3(5),Q50_4(5),Q50_1(6),Q50_2(6),Q50_3(6),Q50_4(6),Q50_1(7),Q50_2(7),Q50_3(7),Q50_4(7),Q50_1(8),Q50_2(8),Q50_3(8),Q50_4(8),Q50_1(9),Q50_2(9),Q50_3(9),Q50_4(9),Q18,Q16,Q15,Q17,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q36,LocationLatitude,LocationLongitude,LocationAccuracy,
R_5Bjqw4NI7gtSTrf,Default Response Set,Anonymous,,,50.153.155.37,0,2015-08-27 11:22:25,2015-08-27 11:25:31,1,78599174,trust,1,,1,0,0,1.999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3.621,0,1,1,1,1,1,1,1,1,1,100,50,65,98,51,68,100,98,100,1,1,1,1,1,1,1,1,1,1.187,3.394,4.055,5,4.216,5.6850000000000005,6.483,2,1.392,3.086,3.645,4,1.442,5.468,5.777,5,4.882,5.866,6.693,2,1.957,7.020000000000001,7.283,7,11.304,13.811,14.794,8,7.434,9.986,10.409,5,5.437,7.189000000000001,7.437,4,no,2,28,4,1,,,,,,,,,1,41.88020324707,-87.75659942627,-1,
R_2t9sOqObJehJhTn,Default Response Set,Anonymous,,,173.27.252.58,0,2015-08-27 11:23:16,2015-08-27 11:25:35,1,78592807,likeability,1,1,1,0,0,7.688,0,1,1,1,1,1,1,1,1,1,12,47,43,12,61,82,-32,-66,-16,1,2,2,2,2,2,2,2,2,4.192,6.647,7.608,2,3.759,4.96,5.741,2,2.731,8.338000000000001,9.977,2,5.644,8.56,9.3,3,5.023,6.771,7.674,2,5.815,14.522000000000002,15.53,5,2.014,3.574,4.913,3,3.016,5.539,6.497,2,2.692,5.362,6.693,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,4,1,,,,,,,,,1,38,-97,-1,
R_1B9RRYNZg6bmJVj,Default Response Set,Anonymous,,,100.12.144.254,0,2015-08-27 11:22:19,2015-08-27 11:25:37,1,78567132,likeability,1,1,1,0,0,23.789,0,1,1,1,1,1,1,1,1,1,35,10,-51,-76,-62,85,60,37,-16,2,2,2,2,1,2,2,2,2,2.954,9.683,10.423,3,4.216,5.6,6.51,2,4.221,5.629,6.849,2,4.289,5.936,9.042,2,6.803,8.328,11.646,2,8.158,14.652000000000001,18.846,3,2.243,5.677,9.963,3,14.534,15.731000000000002,17.226,2,5.895,7.2989999999999995,9.54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There were no issues.,2,28,4,1,,,,,,,,,1,40.670501708984,-74.106399536133,-1,
R_7Wj5nOb9gi8OhAF,Default Response Set,Anonymous,,,65.78.107.47,0,2015-08-27 11:22:39,2015-08-27 11:25:47,1,78519821,trust,1,,1,0,0,40.178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,8.626,0,1,1,1,1,1,1,1,1,1,30,50,80,37,35,61,36,49,43,2,2,2,2,2,1,2,1,1,2.085,2.753,4.152,2,2.501,3.722,4.747,2,19.957,27.275000000000002,9.188,4,5.722,7.704000000000001,8.741,3,2.398,3.56,4.467,2,26.343,28.565,30.468,4,1.911,2.781,3.821,2,2.303,3.8680000000000003,5.161,3,3.701,5.2170000000000005,6.79,3,,2,41,4,1,,,,,,,,,1,40.567794799805,-75.482803344727,-1,
R_b1NZeSzJvJdncmp,Default Response Set,Anonymous,,,66.176.128.52,0,2015-08-27 11:23:32,2015-08-27 11:25:56,1,78504272,trust,1,,1,0,0,8.916,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,23.963,0,1,1,1,1,1,1,1,1,1,50,50,50,50,51,50,50,50,50,2,1,2,2,2,2,2,1,2,1.909,4.642,5.651,3,2.451,3.859,5.309,2,1.984,2.944,3.924,2,4.254,5.946,7.269,2,2.021,3.604,5.964,2,11.839,13.699,15.35,2,1.728,2.768,3.669,2,3.326,4.366,5.814,2,1.888,3.343,4.319,2,no,2,32,4,,1,,,,,,,,1,26.153396606445,-80.224899291992,-1,
R_1Zj5wzOredZF51r,Default Response Set,Anonymous,,,24.247.47.45,0,2015-08-27 11:21:46,2015-08-27 11:25:59,1,78511216,trust,1,,1,0,0,6.913,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,105.193,0,1,1,1,1,1,1,1,1,1,9,10,16,9,7,9,10,9,9,2,2,2,2,2,2,2,2,2,6.005,7.468999999999999,8.531,2,1.271,2.681,3.65,2,1.646,4.356,5.643,2,7.639,8.747,9.797,2,12.087,14.174,15.382,3,1.874,3.31,5.762,2,0.972,2.3579999999999997,4.623,2,1.093,1.955,3.422,2,1.41,2.843,4.2,2,no,2,24,2,1,,,,,,,,,1,46.628799438477,-87.479598999023,-1,
R_brzZgRg4V6fQ81D,Default Response Set,Anonymous,,,68.110.21.72,0,2015-08-27 11:21:51,2015-08-27 11:26:03,1,78577037,likeability,1,1,1,0,0,14.185,0,1,1,1,1,1,1,1,1,1,-70,15,-73,-50,74,79,-30,-60,-18,2,2,2,2,2,2,2,2,2,6.221,9.811,12.318,2,7.334,8.969,10.105,2,3.533,6.863,8.981,3,4.063,7.0569999999999995,9.971,3,8.297,13.892,15.222,2,7.369,9.616,19.592,2,5.688,7.6979999999999995,9.024,2,4.662,10.32,12.053,3,2.952,8.488,9.45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,34,4,1,,,,,,,,,1,41.117202758789,-96.061096191406,-1,
R_bpVgqoxc6InS4zb,Default Response Set,Anonymous,,,50.245.31.177,0,2015-08-27 11:24:10,2015-08-27 11:26:05,1,78562382,likeability,1,1,1,0,0,8.831,0,1,1,1,1,1,1,1,1,1,21,7,-74,10,61,94,60,-29,1,2,2,2,2,2,2,2,2,2,2.372,5.965,6.468,5,4.527,5.383,5.886,2,2.694,3.885,4.769,2,5.581,6.237,7.372,2,2.533,7.99,8.563,3,2.648,3.528,4.247,2,1.73,3.728,5.256,3,8.16,17.28,18.053,3,6.27,7.029999999999999,7.633,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,2,33,4,,,,,,1,,,,1,42.549301147461,-71.255798339844,-1,
R_9Ag9BFoxSn8xzlr,Default Response Set,Anonymous,,,75.128.41.189,0,2015-08-27 11:22:39,2015-08-27 11:26:19,1,78585514,trust,1,,1,0,0,12.826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,97.641,0,1,1,1,1,1,1,1,1,1,10,20,0,9,15,0,30,30,10,2,2,2,2,2,2,2,2,1,4.08,4.739,5.441,2,10.837,14.738,16.545,2,5.426,8.755,4.25,3,3.761,5.138,6.068,2,4.419,5.0889999999999995,5.921,2,2.677,4.174,5.682,3,4.181,5.74,6.325,2,3.033,7.074,7.688,4,3.7,6.952,7.467,3,,2,29,4,1,,,,,,,,,1,34.006896972656,-118.03150177002,-1,
R_cI90oZcBUCCr1Jz,Default Response Set,Anonymous,,,100.11.219.21,0,2015-08-27 11:23:16,2015-08-27 11:26:25,1,78528526,trust,1,,1,0,0,16.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,54.363,0,1,1,1,1,1,1,1,1,1,0,25,9,9,30,35,0,0,9,2,2,2,2,2,2,2,2,2,2.773,3.982,5.46,2,3.124,4.571,5.988,2,2.494,3.7,4.684,2,4.079,5.742,6.852,2,3.123,8.408000000000001,9.743,3,6.471,9.737,11.149,2,2.97,4.117,5.267,2,2.494,4.506,5.905,2,2.687,4.427,5.527,2,no,2,30,4,1,,,,,,,,,1,40.019195556641,-75.09400177002,-1,
R_eOQnULiOc5AR5Cl,Default Response Set,Anonymous,,,184.96.188.142,0,2015-08-27 11:23:18,2015-08-27 11:26:36,1,78587011,likeability,1,1,1,0,0,16.637,0,1,1,1,1,1,1,1,1,1,-100,20,-100,-15,-81,100,83,-70,-41,2,2,2,2,2,2,2,2,2,2.543,3.8760000000000003,5.286,2,8.327,9.184,10.556,2,3.793,4.889,5.863,2,5.32,11.815000000000001,12.541,4,5.677,7.228999999999999,8.398,2,9.462,13.701,14.834,2,6.674,7.673,8.299,2,3.757,4.4430000000000005,5.119,2,14.656,23.465,24.37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,1,28,2,1,,,,,,,,,1,39.694793701172,-105.03359985352,-1,
R_0lyA3q66dssYqyh,Default Response Set,Anonymous,,,69.140.249.249,0,2015-08-27 11:23:16,2015-08-27 11:26:45,1,78598192,likeability,1,1,1,5.033,16.865000000000002,19.319,2,1,1,1,1,1,1,1,1,1,-100,45,-92,-87,61,60,23,-21,10,2,2,2,2,2,2,2,2,2,2.579,12.634999999999998,15.131,4,2.545,14.443000000000001,16.789,6,2.602,7.199,9.535,3,2.682,6.609,8.043,2,8.533,18.567999999999998,24.571,3,3.581,8.47,9.854,2,2.565,7.663,8.758,2,7.152,12.811,14.327,3,4.072,9.56,12.017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,1,43,2,1,,,,,,,,,1,39.617202758789,-75.867797851562,-1,
R_bBqyGxyT3SaIT77,Default Response Set,Anonymous,,,96.41.156.186,0,2015-08-27 11:23:25,2015-08-27 11:26:48,1,78578713,trust,1,,1,0,0,14.677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,39.826,0,1,1,1,1,1,1,1,1,1,82,30,41,17,23,9,72,86,20,2,2,2,2,2,2,2,2,2,5.806,6.9350000000000005,8.44,2,4.488,6.606,8.311,2,3.831,5.539,7.547,2,4.678,6.974,9.772,2,4.33,8.082,10.735,2,4.495,5.9510000000000005,8.577,2,4.665,7.114,8.543,2,3.553,6.563,8.482,2,10.239,13.391000000000002,14.994,2,no,1,41,4,1,,,,,,,,,1,43.373992919922,-124.14770507812,-1,
R_5d5U26eao2CCBMN,Default Response Set,Anonymous,,,12.181.75.2,0,2015-08-27 11:24:50,2015-08-27 11:26:51,1,78505451,likeability,1,1,1,0,0,9.728,0,1,1,1,1,1,1,1,1,1,34,84,-42,-15,0,-3,31,74,54,2,2,2,1,2,2,2,2,2,3.49,7.638,9.17,2,3.301,5.279,6.661,2,3.8,6.603,7.418,2,4.286,6.138,7.4,2,6.126,13.649000000000001,15.022,3,5.781,7.6579999999999995,8.552,2,2.988,4.389,5.214,2,3.765,5.481,6.347,2,3.166,4.338,5.044,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,1,43,4,,,,,1,,,,,1,34.228698730469,-118.44409942627,-1,
