survey_code,experiment,Q32_3,Q14(1),Q14(2),Q14(3),Q14(4),Q14(5),Q14(6),Q14(7),Q14(8),Q14(9),Q25_1(1),Q25_1(2),Q25_1(3),Q25_1(4),Q25_1(5),Q25_1(6),Q25_1(7),Q25_1(8),Q25_1(9),Q20(1),Q20(2),Q20(3),Q20(4),Q20(5),Q20(6),Q20(7),Q20(8),Q20(9),Q4_1(1),Q4_2(1),Q4_3(1),Q4_4(1),Q4_1(2),Q4_2(2),Q4_3(2),Q4_4(2),Q4_1(3),Q4_2(3),Q4_3(3),Q4_4(3),Q4_1(4),Q4_2(4),Q4_3(4),Q4_4(4),Q4_1(5),Q4_2(5),Q4_3(5),Q4_4(5),Q4_1(6),Q4_2(6),Q4_3(6),Q4_4(6),Q4_1(7),Q4_2(7),Q4_3(7),Q4_4(7),Q4_1(8),Q4_2(8),Q4_3(8),Q4_4(8),Q4_1(9),Q4_2(9),Q4_3(9),Q4_4(9),Q52,Q33_1,Q33_2,Q33_3,Q33_4,Q46(1),Q46(2),Q46(3),Q46(4),Q46(5),Q46(6),Q46(7),Q46(8),Q46(9),Q47_1(1),Q47_1(2),Q47_1(3),Q47_1(4),Q47_1(5),Q47_1(6),Q47_1(7),Q47_1(8),Q47_1(9),Q49(1),Q49(2),Q49(3),Q49(4),Q49(5),Q49(6),Q49(7),Q49(8),Q49(9),Q50_1(1),Q50_2(1),Q50_3(1),Q50_4(1),Q50_1(2),Q50_2(2),Q50_3(2),Q50_4(2),Q50_1(3),Q50_2(3),Q50_3(3),Q50_4(3),Q50_1(4),Q50_2(4),Q50_3(4),Q50_4(4),Q50_1(5),Q50_2(5),Q50_3(5),Q50_4(5),Q50_1(6),Q50_2(6),Q50_3(6),Q50_4(6),Q50_1(7),Q50_2(7),Q50_3(7),Q50_4(7),Q50_1(8),Q50_2(8),Q50_3(8),Q50_4(8),Q50_1(9),Q50_2(9),Q50_3(9),Q50_4(9),Q18,Q16,Q15,Q17,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q36,LocationLatitude,LocationLongitude,LocationAccuracy
78587011,likeability,16.637,1,1,1,1,1,1,1,1,1,-100,20,-100,-15,-81,100,83,-70,-41,2,2,2,2,2,2,2,2,2,2.543,3.876,5.286,2,8.327,9.184,10.556,2,3.793,4.889,5.863,2,5.32,11.815,12.541,4,5.677,7.229,8.398,2,9.462,13.701,14.834,2,6.674,7.673,8.299,2,3.757,4.443,5.119,2,14.656,23.465,24.37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,1,28,2,1,,,,,,,,,1,39.6947937,-105.0335999,-1
78598192,likeability,19.319,1,1,1,1,1,1,1,1,1,-100,45,-92,-87,61,60,23,-21,10,2,2,2,2,2,2,2,2,2,2.579,12.635,15.131,4,2.545,14.443,16.789,6,2.602,7.199,9.535,3,2.682,6.609,8.043,2,8.533,18.568,24.571,3,3.581,8.47,9.854,2,2.565,7.663,8.758,2,7.152,12.811,14.327,3,4.072,9.56,12.017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,1,43,2,1,,,,,,,,,1,39.61720276,-75.86779785,-1
78578713,trust,14.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,39.826,0,1,1,1,1,1,1,1,1,1,82,30,41,17,23,9,72,86,20,2,2,2,2,2,2,2,2,2,5.806,6.935,8.44,2,4.488,6.606,8.311,2,3.831,5.539,7.547,2,4.678,6.974,9.772,2,4.33,8.082,10.735,2,4.495,5.951,8.577,2,4.665,7.114,8.543,2,3.553,6.563,8.482,2,10.239,13.391,14.994,2,no,1,41,4,1,,,,,,,,,1,43.37399292,-124.1477051,-1
78505451,likeability,9.728,1,1,1,1,1,1,1,1,1,34,84,-42,-15,0,-3,31,74,54,2,2,2,1,2,2,2,2,2,3.49,7.638,9.17,2,3.301,5.279,6.661,2,3.8,6.603,7.418,2,4.286,6.138,7.4,2,6.126,13.649,15.022,3,5.781,7.658,8.552,2,2.988,4.389,5.214,2,3.765,5.481,6.347,2,3.166,4.338,5.044,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,1,43,4,,,,,1,,,,,1,34.22869873,-118.4440994,-1
78541780,likeability,15.089,1,1,1,1,1,1,1,1,1,43,74,-41,0,-15,80,48,-22,46,2,2,2,2,2,2,2,2,2,12.661,25.428,27.065,4,3.699,8.404,9.852,2,3.948,6.071,8.372,2,5.952,8.563,9.87,2,4.424,7.719,9.296,3,4.62,9.028,11.99,2,2.926,4.941,7.06,2,5.17,7.18,8.82,2,5.999,8.725,10.819,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1,36,2,1,,,,,,,,,1,38,-97,-1
78527067,trust,9.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,77.478,0,1,1,1,1,1,1,1,1,1,0,10,5,5,10,10,15,10,5,2,2,2,2,2,2,2,2,2,2.643,3.716,4.945,2,3.842,4.858,6.484,2,14.392,16.096,17.905,2,6.781,8.325,9.371,2,12.158,13.238,13.979,2,3.692,5.132,6.714,2,2.86,4.38,5.788,2,9.679,10.535,12.12,2,2.875,4.203,5.072,2,no,1,32,2,1,,,,,,,,,1,33.48429871,-92.49520111,-1
78506673,likeability,8.084,1,1,1,1,1,1,1,1,1,-80,31,-17,-17,-39,-2,62,20,-59,2,2,2,1,2,2,2,2,2,2.717,5.46,6.301,4,2.084,6.256,6.996,5,2.026,2.88,3.551,2,3.635,5.662,7.033,3,3.723,6.403,7.353,3,4.558,6.771,7.763,2,2.375,3.269,4.188,2,2.389,3.018,3.941,2,4.117,7.482,8.722,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,1,40,3,1,,,,,,1,,,1,30.00999451,-90.16280365,-1
78553493,likeability,12.99,1,1,1,1,1,1,1,1,1,-63,0,-20,-62,42,42,0,39,-41,1,2,1,2,2,2,2,1,2,7.964,16.214,17.592,2,5.781,8.019,9.312,2,3.896,10.813,11.383,4,4.06,12.422,9.879,3,4.768,13.232,14.233,4,2.934,8.692,10.924,4,3.985,9.032,11.478,4,3.818,14.781,16.105,3,6.932,8.336,11.121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None.,1,25,4,1,,,,,,,,,1,37.77990723,-121.9779968,-1
78516276,likeability,9.514,1,1,1,1,1,1,1,1,1,-100,21,-76,-60,40,82,60,-83,12,1,2,1,1,2,2,2,2,1,3.399,5.555,6.375,2,5.587,8.061,9.456,2,3.808,6.294,7.826,3,2.289,10.319,12.015,2,5.609,6.881,7.969,2,4.427,5.679,6.735,2,4.039,5.331,6.031,2,7.223,9.3,10.039,2,5.021,6.194,7.195,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,4,1,,,,,,,,,1,38.95199585,-77.01999664,-1
78560919,trust,24.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,52.861,56.66,65.335,2,1,1,1,1,1,1,1,1,1,30,100,50,75,50,100,80,50,80,2,2,2,2,2,2,2,2,2,5.985,9.417,10.196,3,5.919,7.39,8.242,2,4.692,6.748,7.594,3,6.095,7.407,8.004,2,4.628,6.556,7.584,2,5.889,7.249,9.374,2,5.502,6.294,7.925,2,5.521,12.361,13.652,2,6.689,9.332,10.079,3,none,2,40,4,1,,,,,,,,,1,35.11199951,-80.76170349,-1
78579143,trust,18.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,108.263,0,1,1,1,1,1,1,1,1,1,10,50,40,20,30,10,50,50,20,2,2,2,2,2,2,2,2,2,2.827,6.071,6.99,3,16.273,20.074,21.099,2,7.011,10.866,11.813,2,4.188,6.956,9.361,3,7.322,9.401,10.383,2,4.841,8.706,10.031,3,6.025,9.281,10.306,2,3.942,6.166,7.826,2,4.888,9.063,10.635,3,NO,1,46,1,1,,,,,,,,,1,32.48139954,-84.90329742,-1
78579435,likeability,10.401,1,1,1,1,1,1,1,1,1,61,-61,7,18,-84,-74,93,40,23,2,2,2,2,2,2,2,2,2,1.771,3.221,4.254,3,2.425,9.24,10.357,5,1.4,6.492,7.623,6,2.146,2.81,3.464,2,2.155,4.28,5.365,3,3.558,5.557,6.099,3,1.366,2.219,2.834,3,1.204,2.986,3.532,3,1.882,2.785,3.361,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,29,2,1,,,,,,,,,1,47.89849854,-122.2588959,-1
78510069,likeability,17.006,1,1,1,1,1,1,1,1,1,19,44,-55,-13,-17,85,51,-23,-50,2,2,2,2,2,2,2,2,2,3.678,5.37,6.082,2,3.565,5.548,6.496,2,4.544,8.647,9.454,4,4.47,6.739,8.448,3,3.887,5.832,7.472,2,3.681,6.498,7.853,3,2.612,4.783,5.567,2,7.063,9.843,10.701,2,3.732,5.541,6.328,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,2,30,4,1,,,,,,,,,1,38,-97,-1
78557263,likeability,16.172,1,1,1,1,1,1,1,1,1,-40,60,-80,-60,-20,40,20,-40,-20,2,2,2,2,2,2,2,2,2,4.097,8.626,9.926,5,1.782,14.544,15.327,12,6.247,8.031,8.9,2,3.151,4.767,6.253,3,3.921,11.897,13.774,5,3.405,11.676,12.586,5,3.502,9.271,10.1,3,6.365,12.597,17.163,2,11.196,14.187,16.105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No. Movement (GIFs) of the robots would be more telling, I think. ",2,28,3,1,,,,1,,,,,1,33.5243988,-81.94239807,-1
78575386,likeability,8.368,1,1,1,1,1,1,1,1,1,-41,-2,39,-48,-70,-40,81,33,-1,2,2,2,2,2,2,2,2,2,5.968,9.068,10.089,2,3.396,5.076,6.246,3,2.564,7.003,8.069,2,2.759,4.303,5.2,3,4.842,5.458,6.204,2,5.278,7.686,8.8,3,1.967,4.142,4.857,4,1.92,3.32,4.146,2,2.255,2.96,4.001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,4,1,,,,,,,,,1,39.91929626,-75.41899872,-1
78519815,likeability,11.476,1,1,1,1,1,1,1,1,1,-63,-62,-52,-44,44,61,-39,-62,-81,2,2,2,2,2,2,2,2,2,2.308,4.52,5.555,3,2.299,4.361,5.191,4,2.692,3.74,4.372,2,2.657,5.719,6.893,2,3.25,5.54,6.596,2,2.77,5.067,5.782,4,4.581,9.199,10.073,2,2.561,5.959,7.086,3,3.238,5.315,6.249,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,4,1,,,,,,,,,1,43.07440186,-75.21170044,-1
78553402,trust,10.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,52.013,0,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,2,2,2,2,2,2,2,2,2,1.885,2.661,3.814,2,9.161,13.977,14.868,3,2.026,3.688,4.371,3,1.851,2.737,3.452,2,1.811,2.442,3.334,2,2.202,3.114,3.725,2,1.4,2.432,3.298,2,1.823,2.99,4.273,2,10.002,10.766,11.341,2,No,2,32,4,1,,,,,,,,,1,37.49389648,-82.96440125,-1
78505334,trust,8.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,32.172,0,1,1,1,1,1,1,1,1,1,40,50,49,50,29,7,19,20,30,2,2,2,2,2,2,2,2,2,1.802,3.206,4.016,3,2.093,3.013,3.909,2,2.24,3.096,3.742,2,3.174,5.43,6.738,2,5.005,5.781,6.929,2,2.297,4.048,4.842,3,2.812,4.068,5.222,2,3.014,3.942,5.007,2,5.545,6.233,7.368,2,No,2,39,3,1,,,,,,,,,1,35.97669983,-78.55439758,-1
78583828,trust,10.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42.873,43.173,65.793,2,1,1,1,1,1,1,1,1,1,20,15,12,4,13,11,14,16,7,1,2,2,1,2,2,2,2,2,7.039,15.027,17.023,4,6.098,8.081,9.333,2,3.363,5.747,6.756,2,3.23,4.299,5.616,2,3.803,5.369,6.787,2,4.752,6.175,8.742,2,2.805,3.891,4.877,2,2.65,3.979,4.911,2,5.14,6.357,7.367,2,No.,1,35,3,1,,,,,,,,,1,45.48179626,-122.6004944,-1
78516834,likeability,10.062,1,1,1,1,1,1,1,1,1,-34,-14,-36,-20,-14,-19,0,-67,-62,2,2,2,1,2,2,2,2,2,6.36,7.971,8.977,2,7.485,10.007,11.343,3,5.017,7.388,8.756,2,6.798,9.312,11.078,3,5.227,7.954,9.021,2,7.273,16.731,19.847,2,5.628,7.541,8.961,2,3.696,5.567,7.051,2,4.357,5.672,7.494,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not _exactly, but there was an iFrame error and this popped up inside the turk window, which is mildly awkward.",2,43,5,1,,,,,,,,,1,41.84309387,-90.67900085,-1
